filename,item_name,item_number,item_price
C0004_Cowboy_Frog.jpg,Cowboy Frog,C0004,15
C001_Hammerhead.jpg,Hammerhead,C001,10
C002M_Lizard_Hatchling.jpg,Lizard Hatchling,C002M,2
C003_Cowboy_Crab.jpg,Cowboy Crab,C003,25
C012_Quackodile.jpg,Quackodile,C012,8
C018_Gummy_Bear.jpg,Gummy Bear,C018,1
C024_Guinea_Pig.jpg,Guinea Pig,C024,2
C025_Ice_Cream_Narwhal.jpg,Ice Cream Narwhal,C025,2
C103_Fire_Dragon_Hatchling.jpg,Fire Dragon Hatchling,C103,2
C103M_Fire_Dragon_Hatchling_Multi.jpg,Fire Dragon Hatchling Multi,C103M,5
C105_80M_Small_Baby_Gemstone_Multi.jpg,Small Baby Gemstone Multi,C105,15
C107_Crystal_Tadling.jpg,Crystal Tadling,C107,3
C108_Crystal_Dragon.jpg,Crystal Dragon,C108,25
C113_Phoenix_Dragon.jpg,Phoenix Dragon,C113,8
C115_Dragon_Hatchling.jpg,Dragon Hatchling,C115,2
K001_World_Cup_Trophy_Clicker.jpg,World Cup Trophy Clicker,K001,3
X001_Double_Clicker.jpg,Double Clicker,X001,1.50
